,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
42,Lakeland,Paul F.,RS 0299C,,,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",01,72876.0,Fall,2017.0,22.0,24.0,2.0,['TF 1100am-1215pm 09/05-12/11 CNS 206']
43,Lakeland,Paul F.,RS 0299C,,,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",01,32724.0,Spring,2017.0,24.0,25.0,1.0,['TF 1100am-1215pm 01/17-05/02 CNS 106']
44, Patton,Martha Jane,PO 0190E,,,Special Topics: Turkey: A Nation of Contradictions in Turmoil,01,32864.0,Spring,2017.0,13.0,15.0,2.0,['T 0500pm-0730pm 01/17-05/02 DMH 131']
45,Heller,Nicole Elizabeth,FE 0002,,,Transfer Student Experience,01,72950.0,Fall,2017.0,14.0,30.0,16.0,['M 1100am-1150am 09/05-12/11 NHS 411']
46,Martin,Alyson Margaret,SE 0500,,,Autism Spectrum Disorders: Theories and Interventions,01,78534.0,Fall,2016.0,17.0,15.0,-2.0,['M 0455pm-0655pm 09/12-12/19 CNS 203']
47,Calderwood,Patricia E.,MD 0099,,,Comp Exam: Schl Library Media,02,37562.0,Spring,2016.0,4.0,18.0,14.0,['S 0830am-1230pm 03/19-03/19 DMH 148']
48,Calderwood,Patricia E.,MD 0099,,,Comprehensive Exam,01,37561.0,Spring,2016.0,1.0,18.0,17.0,['S 0830am-1230pm 03/19-03/19 DMH 148']
49,Huntley,Christopher L.,IS 0585C,,,Contemporary Topics: Database Systems for Business Analytics,01,79098.0,Fall,2016.0,15.0,20.0,5.0,"['W 0630pm-0930pm 10/26-12/19 DSB 115', 'S 0830am-0430pm 10/29-10/29 DSB 104', 'S 0830am-0430pm 11/19-11/19 DSB 104', 'S 0830am-0430pm 12/10-12/10 DSB 104']"
50,McNeiece,Kathleen A.,MD 0433,,,Critical Viewing of Television,01,78516.0,Fall,2016.0,1.0,18.0,17.0,['W 0455pm-0655pm 09/07-09/07 CNS 5']
51, Jancosek Torff,Sarah,EG 0410,,,English Skills for Engineering Graduate Students,01,38485.0,Spring,2016.0,15.0,20.0,5.0,['M 0150pm-0320pm 01/19-05/13 BNW 256']
52,Lerner,David P.,FTM 0106I,,,Film Genres: Cult Cinema,A,39052.0,Spring,2016.0,20.0,23.0,3.0,['T 0500pm-0830pm 01/19-05/03 XVR 5']
53,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience,06,77068.0,Fall,2016.0,20.0,35.0,15.0,['M 1100am-1215pm 09/06-12/12 NYS 107C']
54,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Commuters,12,77074.0,Fall,2016.0,17.0,35.0,18.0,['M 0330pm-0445pm 09/06-12/12 DMH 231']
55,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Cornerstone,01,77063.0,Fall,2016.0,17.0,35.0,18.0,['F 1230pm-0145pm 09/06-12/12 BNW 333']
56,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Creative,30,77092.0,Fall,2016.0,23.0,35.0,12.0,['W 1100am-1215pm 09/06-12/12 LYL 227B']
57,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: JUHAN,04,77066.0,Fall,2016.0,11.0,35.0,24.0,['W 1000am-1200pm 09/06-12/12 CNS 200']
58,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Leadership,07,77069.0,Fall,2016.0,24.0,35.0,11.0,['M 1230pm-0145pm 09/06-12/12 DMH 149']
59,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Magis,17,77079.0,Fall,2016.0,24.0,35.0,11.0,['T 1100am-1215pm 09/06-12/12 CNS 203']
60,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Men,38,77100.0,Fall,2016.0,20.0,35.0,15.0,['R 0200pm-0315pm 09/06-12/12 LYL 2']
61,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Music,42,77104.0,Fall,2016.0,18.0,35.0,17.0,['R 0330pm-0445pm 09/06-12/12 JGS 25']
62,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Service Learning,03,77065.0,Fall,2016.0,13.0,35.0,22.0,['W 0330pm-0530pm 09/06-12/12 CNS 200']
63,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Social Justice,23,77085.0,Fall,2016.0,19.0,35.0,16.0,['T 0330pm-0445pm 09/06-12/12 MCK 101']
64,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Spiritual Exploration,18,77080.0,Fall,2016.0,15.0,35.0,20.0,['T 1100am-1215pm 09/06-12/12 EGN MCGRATH']
65,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Sports,27,77089.0,Fall,2016.0,22.0,35.0,13.0,['W 1100am-1215pm 09/06-12/12 CNS 305']
66,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience: Women,37,77099.0,Fall,2016.0,20.0,35.0,15.0,['R 0200pm-0315pm 09/06-12/12 LYL 227B']
67,Das,Bidyut B.,PS 0015,,,General Physics I,01,56029.0,Summer,2016.0,21.0,25.0,4.0,['MTWRF 0800am-1000am 06/06-07/01 BNW 254']
68,Das,Bidyut B.,PS 0015L,,,General Physics I Lab,01,56030.0,Summer,2016.0,19.0,25.0,6.0,['MTWRF 1030am-1230pm 06/06-07/01 BNW 162']
69, Dlugos,Daniel,PS 0016,,,General Physics II,D,37062.0,Spring,2016.0,23.0,23.0,0.0,['TR 0500pm-0615pm 01/19-05/03 BNW 139']
70,Das,Bidyut B.,PS 0016,,,General Physics II,01,56031.0,Summer,2016.0,12.0,25.0,13.0,['MTWRF 0800am-1000am 07/11-08/05 BNW 256']
71,Cavallo,James P.,PS 0016L,,,General Physics II Lab,F,37992.0,Spring,2016.0,20.0,24.0,4.0,['R 0200pm-0430pm 01/19-05/03 BNW 162']
72,Das,Bidyut B.,PS 0016L,,,General Physics II Lab,01,56032.0,Summer,2016.0,10.0,25.0,15.0,['MTWRF 1030am-1230pm 07/11-08/05 BNW 162']
73,LaBella,Maryann Hayes,FT 0562,,,Human Sexuality and Sexual Dysfunction,01,56393.0,Summer,2016.0,7.0,20.0,13.0,"['TW 1000am-0500pm 06/28-06/29 CNS 104', 'TWR 1000am-0500pm 07/05-07/07 CNS 104']"
74,Weiss,Joan Wyzkoski,MA 0019,,,Introduction to Calculus,C,37035.0,Spring,2016.0,21.0,30.0,9.0,"['TF 0930am-1020am 01/19-05/03 BNW 256', 'W 0900am-0950am 01/19-05/03 BNW 256']"
75,Cooney,Michael Andrew,MU 0113,,,Introduction to Piano and the Elements of Music,A,37797.0,Spring,2016.0,11.0,12.0,1.0,['TF 1100am-1215pm 01/19-05/03 JGS LAB-A']
76,Edelman,Deborah L.,SE 0441,,,Parents and Families of Individuals with Disabilities,01,37344.0,Spring,2016.0,8.0,20.0,12.0,['T 0715pm-0915pm 01/19-05/10 CNS 203']
77,Kelly,Virginia A.,CN 0403A,,,Seminar in Special Topics: Domestic Violence in Nicaragua,01,56390.0,Summer,2016.0,6.0,20.0,14.0,"['R 0600pm-0800pm 06/30-06/30 CNS 2', 'M 0600pm-0800pm 07/11-08/08 CNS 2']"
78, Chamlin-Richer,Suzanne,SA 0300,,,Seminar: Junior Project,A,37098.0,Spring,2016.0,4.0,8.0,4.0,['R 1100am-0130pm 01/19-05/03 LYL 8']
79,Rusu,Amalia I.,SW 0202,,,Software Design Methods,01,77275.0,Fall,2016.0,12.0,13.0,1.0,['M 0630pm-0900pm 09/12-12/12 BNW GR22']
80,Rusu,Amalia I.,SW 0202,,,Software Design Methods,A,37176.0,Spring,2016.0,3.0,4.0,1.0,['W 1100am-0130pm 01/19-05/03 BNW 166']
81,Rusu,Amalia I.,SW 0201,,,Software Engineering Methods,A,37282.0,Spring,2016.0,13.0,13.0,0.0,['M 0630pm-0900pm 01/19-05/03 BNW GR22']
82,Rusu,Amalia I.,SW 0205,,,Software Testing and Maintenance,A,37835.0,Spring,2016.0,3.0,6.0,3.0,['F 0200pm-0430pm 01/19-05/03 BNW 341']
83,Church,Geoffrey A.,BI 0381A,,,Special Topics Seminar: Biology of Cancer,A,38804.0,Spring,2016.0,6.0,12.0,6.0,"['M 0200pm-0315pm 01/19-03/25 BNW 236', 'R 0200pm-0315pm 01/19-03/25 BNW 254A', 'MR 0200pm-0315pm 03/28-05/03 SON 118']"
84,Brousseau,Diane J.,BI 0383A,,,Special Topics Seminar: Coral Reef Ecology,A,38805.0,Spring,2016.0,8.0,12.0,4.0,['W 0200pm-0430pm 01/19-05/03 BNW 469']
85,Hartman,Victor E.,AC 0585B,,,Special Topics Seminar: Forensic Accounting,01,38843.0,Spring,2016.0,20.0,25.0,5.0,"['R 0600pm-1000pm 03/24-04/21 DSB 111', 'F 0330pm-1000pm 04/01-04/01 DSB 111', 'S 1000am-0430pm 04/02-04/02 DSB 111', 'R 0600pm-1000pm 05/05-05/12 DSB 111', 'F 0330pm-1000pm 05/06-05/06 DSB 111', 'S 1000am-0430pm 05/07-05/07 DSB 111']"
86,Schwans,Thomas R.,TA 0300B,,,Special Topics: Acting the Medical Patient,01,79029.0,Fall,2016.0,3.0,20.0,17.0,['T 0200pm-0430pm 09/06-12/12 PTH MAIN']
