,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
11042,Spring2017,31770,IT 0111,01,3.000,Elementary Italian II,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/17-05/02', 'location': 'CNS 106'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/17-05/02', 'location': 'CNS 106'}]","['TF 1230pm-0120pm 01/17-05/02 CNS 106', 'W 0100pm-0150pm 01/17-05/02 CNS 106']",Sara E.  Diaz,18,18,0
11043,Spring2017,31771,IT 0111,02,3.000,Elementary Italian II,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '01/17-05/02', 'location': 'CNS 303'}]",['MWR 0200pm-0250pm 01/17-05/02 CNS 303'],Yael   Eliasoph,18,18,0
11044,Spring2017,31772,IT 0111,03,3.000,Elementary Italian II,"[{'days': 'MWR', 'times': '0400pm-0450pm', 'dates': '01/17-05/02', 'location': 'CNS 305'}]",['MWR 0400pm-0450pm 01/17-05/02 CNS 305'],Yael   Eliasoph,18,16,2
11045,Spring2017,31773,IT 0111,04,3.000,Elementary Italian II,"[{'days': 'TF', 'times': '0200pm-0250pm', 'dates': '01/17-05/02', 'location': 'BNW 256'}, {'days': 'W', 'times': '0300pm-0350pm', 'dates': '01/17-05/02', 'location': 'BNW 256'}]","['TF 0200pm-0250pm 01/17-05/02 BNW 256', 'W 0300pm-0350pm 01/17-05/02 BNW 256']",Federica   Christopher,18,18,0
11046,Spring2017,31774,IT 0111,05,3.000,Elementary Italian II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/17-05/02', 'location': 'CNS 208'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/17-05/02', 'location': 'CNS 208'}]","['MR 1100am-1150am 01/17-05/02 CNS 208', 'W 1000am-1050am 01/17-05/02 CNS 208']",Mary Ann M.  Carolan,18,13,5
11047,Spring2017,32777,IT 0111,06,3.000,Elementary Italian II,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/17-05/02', 'location': 'DMH 350'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/17-05/02', 'location': 'DMH 350'}]","['MR 1230pm-0120pm 01/17-05/02 DMH 350', 'W 1200pm-1250pm 01/17-05/02 DMH 350']",Mary Ann M.  Carolan,18,12,6
11048,Spring2017,31289,IT 0211,01,3.000,Intermediate Italian II,"[{'days': 'TWF', 'times': '0400pm-0450pm', 'dates': '01/17-05/02', 'location': 'BNW 256'}]",['TWF 0400pm-0450pm 01/17-05/02 BNW 256'],Federica   Christopher,18,8,10
11049,Spring2017,31290,IT 0211,02,3.000,Intermediate Italian II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/17-05/02', 'location': 'DMH 231'}]",['MWR 0500pm-0550pm 01/17-05/02 DMH 231'],Luisa   De Cicco,18,15,3
11050,Spring2017,31291,IT 0211,03,3.000,Intermediate Italian II,"[{'days': 'TWF', 'times': '0800am-0850am', 'dates': '01/17-05/02', 'location': 'CNS 10'}]",['TWF 0800am-0850am 01/17-05/02 CNS 10'],Sara E.  Diaz,18,16,2
11051,Spring2017,31412,IT 0211,04,3.000,Intermediate Italian II,"[{'days': 'TF', 'times': '0930am-1020am', 'dates': '01/17-05/02', 'location': 'CNS 103'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/17-05/02', 'location': 'CNS 103'}]","['TF 0930am-1020am 01/17-05/02 CNS 103', 'W 0900am-0950am 01/17-05/02 CNS 103']",Sara E.  Diaz,18,18,0
