,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
91,BI,Biology,694,2014.0,Fall,Fall2014,2014_2015,BI 0070,"Science, Technology, and Society",,,,,,
92,BI,Biology,699,2014.0,Fall,Fall2014,2014_2015,BI 0071,Identity and the Human Genome,,,,,,
93,BI,Biology,715,2014.0,Fall,Fall2014,2014_2015,BI 0073,Contemporary Nutrition: Food for Thought,,,,,,
94,BI,Biology,951,2015.0,Spring,Spring2015,2014_2015,BI 0074,Biology of Food,,,,,,
95,BI,Biology,930,2015.0,Spring,Spring2015,2014_2015,BI 0076,Environmental Science,,,,,,
96,BI,Biology,730,2014.0,Fall,Fall2014,2014_2015,BI 0078,Introduction to Marine Science,,,,,,
97,BI,Biology,1018,2015.0,Spring,Spring2015,2014_2015,BI 0095,Philosophy and Biology of Evolutionary Theory,,,,,,
98,BI,Biology,7009,2015.0,Spring,Spring2015,2014_2015,BI 0096,God and Modern Biology,,,,,,
99,BI,Biology,716,2014.0,Fall,Fall2014,2014_2015,BI 0107,Human Anatomy & Physiology I,,,,,,
100,BI,Biology,747,2014.0,Fall,Fall2014,2014_2015,BI 0107L,Human Anatomy & Physiology Lab,,,,,,
101,BI,Biology,725,2015.0,Spring,Spring2015,2014_2015,BI 0108,Human Anatomy & Physiology II,,,,,,
102,BI,Biology,761,2015.0,Spring,Spring2015,2014_2015,BI 0108L,Human Anatomy & Physiology Lab,,,,,,
103,BI,Biology,813,2014.0,Fall,Fall2014,2014_2015,BI 0151,Elements of Microbiology,,,,,,
104,BI,Biology,814,2014.0,Fall,Fall2014,2014_2015,BI 0151L,Elements of Microbiology Lab,,,,,,
105,BI,Biology,830,2014.0,Fall,Fall2014,2014_2015,BI 0170,General Biology (Majors),,,,,,
106,BI,Biology,852,2014.0,Fall,Fall2014,2014_2015,BI 0170L,General Biology I Lab,,,,,,
107,BI,Biology,607,2014.0,Fall,Fall2014,2014_2015,BI 0170P,General Biology I PLG,,,,,,
