,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
7014,2015.0,Fall,Fall2015,2015_2016,BI 0381B,,,Special Topics Seminar: Molecular Mechanisms of Disease,,,,,,
881,2015.0,Fall,Fall2015,2015_2016,BI 0381D,,,Special Topics Seminar: Nutritional Epigenetics,,,,,,
1007,2016.0,Spring,Spring2016,2015_2016,BI 0383A,,,Special Topics Seminar: Coral Reef Ecology,,,,,,
855,2015.0,Fall,Fall2015,2015_2016,BI 0391,,,Biology Research I,,,,,,
856,2015.0,Fall,Fall2015,2015_2016,BI 0392,,,Biology Research II,,,,,,
858,2015.0,Fall,Fall2015,2015_2016,BI 0393,,,Biology Research III,,,,,,
859,2015.0,Fall,Fall2015,2015_2016,BI 0394,,,Biology Research IV,,,,,,
2738,2016.0,Spring,Spring2016,2015_2016,BL 0100A,,,Special Topics: Black Lives Matter,,,,,,
1031,2015.0,Fall,Fall2015,2015_2016,BU 0211,,,Legal Environment of Business,,,,,,
1054,2016.0,Spring,Spring2016,2015_2016,BU 0220,,,Environmental Law & Policy,,,,,,
1039,2015.0,Fall,Fall2015,2015_2016,BU 0320,,,Employment Law and Discrimination in the Workplace,,,,,,
1340,2015.0,Fall,Fall2015,2015_2016,CH 0007,,,Intro to Forensic Science,,,,,,
1136,2015.0,Fall,Fall2015,2015_2016,CH 0010,,,Chemistry: Sights and Insights,,,,,,
1265,2016.0,Spring,Spring2016,2015_2016,CH 0033,,,Chemistry of Nutrition,,,,,,
923,2015.0,Fall,Fall2015,2015_2016,CH 0076,,,Environmental Science,,,,,,
1157,2015.0,Fall,Fall2015,2015_2016,CH 0083,,,Survey of Chemistry,,,,,,
1164,2015.0,Fall,Fall2015,2015_2016,CH 0084,,,General Chemistry for Health Science,,,,,,
1137,2015.0,Fall,Fall2015,2015_2016,CH 0084L,,,General Chemistry for Health Science Lab,,,,,,
1189,2015.0,Fall,Fall2015,2015_2016,CH 0085,,,"Chemistry, Energy, and the Environment",,,,,,
1203,2015.0,Fall,Fall2015,2015_2016,CH 0086,,,Chemistry and Art,,,,,,
1211,2015.0,Fall,Fall2015,2015_2016,CH 0111,,,General Chemistry I,,,,,,
1155,2015.0,Fall,Fall2015,2015_2016,CH 0111L,,,General Chemistry I Lab,,,,,,
1233,2016.0,Spring,Spring2016,2015_2016,CH 0112,,,General Chemistry II,,,,,,
1218,2016.0,Spring,Spring2016,2015_2016,CH 0112L,,,General Chemistry II Lab,,,,,,
1138,2015.0,Fall,Fall2015,2015_2016,CH 0211,,,Organic Chemistry I,,,,,,
1139,2015.0,Fall,Fall2015,2015_2016,CH 0211L,,,Organic Chemistry I Lab,,,,,,
1149,2016.0,Spring,Spring2016,2015_2016,CH 0212,,,Organic Chemistry II,,,,,,
1200,2016.0,Spring,Spring2016,2015_2016,CH 0212L,,,Organic Chemistry II Lab,,,,,,
1345,2016.0,Spring,Spring2016,2015_2016,CH 0222,,,Chemical Analysis,,,,,,
1346,2016.0,Spring,Spring2016,2015_2016,CH 0222L,,,Chemical Analysis Lab,,,,,,
1303,2015.0,Fall,Fall2015,2015_2016,CH 0261,,,Physical Chemistry I,,,,,,
1304,2015.0,Fall,Fall2015,2015_2016,CH 0261L,,,Physical Chemistry I Lab,,,,,,
1251,2016.0,Spring,Spring2016,2015_2016,CH 0262,,,Physical Chemistry II,,,,,,
1253,2016.0,Spring,Spring2016,2015_2016,CH 0262L,,,Physical Chemistry II Lab,,,,,,
7034,2015.0,Fall,Fall2015,2015_2016,CH 0324,,,Biochemistry I,,,,,,
7036,2015.0,Fall,Fall2015,2015_2016,CH 0324L,,,Biochemistry I Lab,,,,,,
6996,2015.0,Fall,Fall2015,2015_2016,CH 0325,,,Biochemistry II,,,,,,
6998,2015.0,Fall,Fall2015,2015_2016,CH 0325L,,,Biochemistry II Lab,,,,,,
1339,2015.0,Fall,Fall2015,2015_2016,CH 0326,,,Chemical Instrumentation,,,,,,
1309,2016.0,Spring,Spring2016,2015_2016,CH 0326L,,,Instrumental-Analytical Chemistry Lab,,,,,,
1225,2015.0,Fall,Fall2015,2015_2016,CH 0398,,,Research and Seminar,,,,,,
7069,2015.0,Fall,Fall2015,2015_2016,CI 0110,,,Elementary Chinese I,,,,,,
1366,2016.0,Spring,Spring2016,2015_2016,CI 0111,,,Elementary Chinese II,,,,,,
7070,2015.0,Fall,Fall2015,2015_2016,CI 0210,,,Intermediate Chinese I,,,,,,
1367,2016.0,Spring,Spring2016,2015_2016,CI 0211,,,Intermediate Chinese II,,,,,,
1368,2016.0,Spring,Spring2016,2015_2016,CI 0250,,,Modern China Through Fiction and Film,,,,,,
1382,2015.0,Fall,Fall2015,2015_2016,CL 0106,,,Masterpieces of Greek Literature in English Translation,,,,,,
1393,2016.0,Spring,Spring2016,2015_2016,CL 0108,,,Myth in Classical Literature,,,,,,
1415,2016.0,Spring,Spring2016,2015_2016,CL 0115,,,Greek Civilization,,,,,,
1409,2015.0,Fall,Fall2015,2015_2016,CL 0116,,,Roman Civilization,,,,,,
1397,2016.0,Spring,Spring2016,2015_2016,CL 0199A,,,Special Topics: Ancient Historians as Literature,,,,,,
1417,2016.0,Spring,Spring2016,2015_2016,CL 0222,,,The Roman Revolution,,,,,,
1672,2015.0,Fall,Fall2015,2015_2016,CN 0099,,,ComExam/Clin Mentl Hlth Cnsl,,,,,,
1733,2016.0,Summer,Summer2016,2015_2016,CN 0403A,,,Seminar in Special Topics: Domestic Violence in Nicaragua,,,,,,
8582,2016.0,Summer,Summer2016,2015_2016,CN 0410,,,Grief and Loss Counseling,,,,,,
1762,2016.0,Spring,Spring2016,2015_2016,CN 0432,,,"Clinical Mental Health Counseling: Management, Delivery, and Evaluation",,,,,,
1694,2015.0,Fall,Fall2015,2015_2016,CN 0433,,,Multicultural Issues in Counseling,,,,,,
1704,2015.0,Fall,Fall2015,2015_2016,CN 0447,,,Lifespan Human Development,,,,,,
1742,2015.0,Fall,Fall2015,2015_2016,CN 0455,,,Group Work: Theory & Practice,,,,,,
1779,2015.0,Fall,Fall2015,2015_2016,CN 0457,,,Career Development: Theory and Practice,,,,,,
1756,2015.0,Fall,Fall2015,2015_2016,CN 0465,,,Introduction to Substance Abuse and Addictions,,,,,,
1720,2016.0,Spring,Spring2016,2015_2016,CN 0467,,,Assessment in Counseling,,,,,,
1780,2015.0,Fall,Fall2015,2015_2016,CN 0468,,,Professional Issues in Counseling,,,,,,
1709,2015.0,Fall,Fall2015,2015_2016,CN 0500,,,Theories of Counseling and Psychotherapy,,,,,,
1781,2015.0,Fall,Fall2015,2015_2016,CN 0515,,,Trauma and Crisis Intervention,,,,,,
1798,2016.0,Summer,Summer2016,2015_2016,CN 0525,,,Spirituality and Wellness,,,,,,
1771,2016.0,Spring,Spring2016,2015_2016,CN 0531,,,"School Counseling: Procedures, Organization, and Evaluation",,,,,,
1675,2015.0,Fall,Fall2015,2015_2016,CN 0553,,,Counseling Relationships and Skills,,,,,,
