,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
577,2015.0,Spring,Spring2015,2014_2015,AH 0121,,,Celtic and Early Irish Art,,,,,,
587,2014.0,Fall,Fall2014,2014_2015,AH 0152,,,Modern Art,,,,,,
533,2014.0,Fall,Fall2014,2014_2015,AH 0164,,,American Art: Civil War to Civil Rights,,,,,,
8388,2015.0,Spring,Spring2015,2014_2015,AH 0192,,,"The History, Theory, and Practice of Museums",,,,,,
562,2015.0,Summer,Summer2015,2014_2015,AH 0193,,,"Inside Museums and Galleries: Taste, Place, Public Space",,,,,,
523,2014.0,Fall,Fall2014,2014_2015,AH 0209,,,The Metropolitan Museum of Art Plaster Cast Collection at Fairfield University,,,,,,
568,2014.0,Fall,Fall2014,2014_2015,AH 0320,,,Junior Seminar,,,,,,
603,2015.0,Spring,Spring2015,2014_2015,AH 0330,,,Senior Capstone Seminar,,,,,,
1361,2015.0,Spring,Spring2015,2014_2015,AN 0310,,,Asian Studies Seminar,,,,,,
506,2014.0,Fall,Fall2014,2014_2015,AR 0110,,,Elementary Modern Standard Arabic I,,,,,,
515,2015.0,Spring,Spring2015,2014_2015,AR 0111,,,Elementary Modern Standard Arabic II,,,,,,
507,2014.0,Fall,Fall2014,2014_2015,AR 0210,,,Intermediate Modern Standard Arabic I,,,,,,
516,2015.0,Spring,Spring2015,2014_2015,AR 0211,,,Intermediate Modern Standard Arabic II,,,,,,
505,2014.0,Fall,Fall2014,2014_2015,AR 0381,,,Coordinating Seminar,,,,,,
514,2015.0,Spring,Spring2015,2014_2015,AR 0382,,,Coordinating Seminar,,,,,,
304,2014.0,Fall,Fall2014,2014_2015,AS 0200,,,Roots of American Culture,,,,,,
319,2014.0,Fall,Fall2014,2014_2015,AS 0400,,,Critical Issues/Amer Studies,,,,,,
350,2014.0,Fall,Fall2014,2014_2015,AS 0453,,,American Popular Entertainments and Social History,,,,,,
561,2015.0,Summer,Summer2015,2014_2015,ASAH 0444,,,American Visual Art History,,,,,,
2492,2015.0,Spring,Spring2015,2014_2015,ASEN 0487,,,The American Novel,,,,,,
3378,2015.0,Spring,Spring2015,2014_2015,ASHI 0437,,,American Prophetic Tradition,,,,,,
332,2015.0,Summer,Summer2015,2014_2015,ASHI 0442,,,"Immigration, Ethnicity, and Race in United States History",,,,,,
363,2014.0,Fall,Fall2014,2014_2015,AY 0010,,,Introduction to Four-Field Anthropology,,,,,,
373,2014.0,Fall,Fall2014,2014_2015,AY 0052,,,Culture and Political Economy,,,,,,
402,2014.0,Fall,Fall2014,2014_2015,AY 0110,,,Biological Anthropology,,,,,,
372,2014.0,Fall,Fall2014,2014_2015,AY 0111,,,Cultural Anthropology,,,,,,
362,2014.0,Fall,Fall2014,2014_2015,AY 0130,,,Cultures of Africa,,,,,,
375,2014.0,Fall,Fall2014,2014_2015,AY 0152,,,Islamic Societies and Cultures,,,,,,
397,2015.0,Spring,Spring2015,2014_2015,AY 0163,,,Culture and Inequality,,,,,,
1085,2014.0,Fall,Fall2014,2014_2015,BB 0115,,,SHRM Learning Systems(Members),,,,,,
1084,2014.0,Fall,Fall2014,2014_2015,BB 0121,,,SHRM Essentials of Human Resource Management,,,,,,
1087,2014.0,Fall,Fall2014,2014_2015,BB 0123,,,Strategic Management,,,,,,
1105,2014.0,Fall,Fall2014,2014_2015,BB 0130,,,Fundamentals and Principles of Personal Financial Planning,,,,,,
1122,2014.0,Fall,Fall2014,2014_2015,BB 0132,,,Insurance Planning and Risk Management,,,,,,
1128,2014.0,Fall,Fall2014,2014_2015,BB 0134,,,Investment Planning,,,,,,
