,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
75,AC,Accounting,280,2015.0,Fall,Fall2015,2015_2016,AC 0590,Research on Contemporary Issues in Accounting,,,,,,
76,IT,Italian,3821,2015.0,Fall,Fall2015,2015_2016,IT 0110,Elementary Italian I,,,,,,
77,IT,Italian,3848,2016.0,Spring,Spring2016,2015_2016,IT 0111,Elementary Italian II,,,,,,
78,IT,Italian,3823,2015.0,Fall,Fall2015,2015_2016,IT 0210,Intermediate Italian I,,,,,,
79,IT,Italian,3832,2016.0,Spring,Spring2016,2015_2016,IT 0211,Intermediate Italian II,,,,,,
80,IT,Italian,3856,2015.0,Fall,Fall2015,2015_2016,IT 0220,Topics in Language and Culture,,,,,,
81,IT,Italian,3834,2016.0,Spring,Spring2016,2015_2016,IT 0330,Redefining the Cosmos: Voyages to the New World in the Italian Renaissance,,,,,,
82,IT,Italian,3866,2016.0,Spring,Spring2016,2015_2016,IT 0399,Capstone Seminar,,,,,,
83,IL,International Studies,3807,2015.0,Fall,Fall2015,2015_2016,IL 0050,"People, Places, and Global Issues",,,,,,
84,IL,International Studies,3760,2015.0,Fall,Fall2015,2015_2016,IL 0051,International Relations: Theories and Challenges,,,,,,
85,IL,International Studies,378,2015.0,Fall,Fall2015,2015_2016,IL 0052,Culture and Political Economy,,,,,,
86,IL,International Studies,7123,2015.0,Fall,Fall2015,2015_2016,IL 0053,Introduction to Economics,,,,,,
87,IL,International Studies,3776,2016.0,Summer,Summer2016,2015_2016,IL 0197,United Nations Security Council Crisis Simulation,,,,,,
88,IL,International Studies,3769,2016.0,Spring,Spring2016,2015_2016,IL 0300,Senior Capstone Seminar,,,,,,
89,WS,"Women, Gender, and Sexuality Studies",2599,2016.0,Spring,Spring2016,2015_2016,WS 0301,"Women, Gender, and Sexuality Studies Capstone Seminar",,,,,,
90,BI,Biology,892,2015.0,Fall,Fall2015,2015_2016,BI 0015,Fundamentals of Biology I,,,,,,
91,BI,Biology,901,2016.0,Spring,Spring2016,2015_2016,BI 0016,Fundamentals of Biology II,,,,,,
92,BI,Biology,683,2015.0,Fall,Fall2015,2015_2016,BI 0018,Human Biology: Form & Function,,,,,,
93,BI,Biology,707,2016.0,Spring,Spring2016,2015_2016,BI 0071,Identity and the Human Genome,,,,,,
94,BI,Biology,718,2015.0,Fall,Fall2015,2015_2016,BI 0073,Contemporary Nutrition: Food for Thought,,,,,,
95,BI,Biology,950,2015.0,Fall,Fall2015,2015_2016,BI 0074,Biology of Food,,,,,,
96,BI,Biology,6994,2015.0,Fall,Fall2015,2015_2016,BI 0075,Ecology and Society,,,,,,
97,BI,Biology,922,2015.0,Fall,Fall2015,2015_2016,BI 0076,Environmental Science,,,,,,
98,BI,Biology,732,2015.0,Fall,Fall2015,2015_2016,BI 0078,Introduction to Marine Science,,,,,,
99,BI,Biology,6999,2015.0,Fall,Fall2015,2015_2016,BI 0096,God and Modern Biology,,,,,,
100,BI,Biology,750,2015.0,Fall,Fall2015,2015_2016,BI 0107,Human Anatomy & Physiology I,,,,,,
101,BI,Biology,752,2015.0,Fall,Fall2015,2015_2016,BI 0107L,Human Anatomy & Physiology Lab,,,,,,
102,BI,Biology,764,2016.0,Spring,Spring2016,2015_2016,BI 0108,Human Anatomy & Physiology II,,,,,,
103,BI,Biology,765,2016.0,Spring,Spring2016,2015_2016,BI 0108L,Human Anatomy & Physiology Lab,,,,,,
104,BI,Biology,817,2015.0,Fall,Fall2015,2015_2016,BI 0151,Elements of Microbiology,,,,,,
105,BI,Biology,818,2015.0,Fall,Fall2015,2015_2016,BI 0151L,Elements of Microbiology Lab,,,,,,
106,BI,Biology,834,2015.0,Fall,Fall2015,2015_2016,BI 0170,General Biology I,,,,,,
